Source;Target;book;Weight
Guy;Auberon;1;5
Eredin;Ihuarraquax;1;4
Auberon;Milton;1;2
Ihuarraquax;Puttkammer;1;1
Milton;Adam;1;1
Adam;Barclay;1;2
Puttkammer;Ramon;1;1
Barclay;Isengrim;1;1
Isengrim;Bronibor;1;1
Kobus;Sievers;1;1
Elan;Aillil;1;1
Sievers;Braathens;1;1
Riordain;Shilard;1;1
Lucienne;Sigismund;1;2
Eudora;Lucienne;1;15
Lytta;Eudora;1;3
Geralt;Alzur;1;3
Ostrit;Lytta;1;3
Ostrit;Geralt;1;2
Foltest;Geralt;1;9
Foltest;Geralt;1;1
Geralt;Foltest;1;1
Foltest;Velerad;1;5
Geralt;Adda;1;4
Geralt;Iola;1;1
Roach;Geralt;1;3
Vereena;Geralt;1;1
Hereward;Geralt;1;2
Nenneke;Geralt;1;7
Geralt;Nivellen;1;1
Falwick;Nenneke;1;3
Geralt;Falwick;1;1
Stregobor;Geralt;1;1
Geralt;Hereward;1;2
Stregobor;Geralt;1;1
Geralt;Fredefalk;1;1
Fredefalk;Geralt;1;2
Nohorn;Fredefalk;1;1
Civril;Geralt;1;1
Renfri;Tavik;1;1
Renfri;Tavik;1;1
Tavik;Renfri;1;1
Geralt;Caldemeyn;1;1
Geralt;Renfri;1;1
Renfri;Caldemeyn;1;3
Stregobor;Audoen;1;2
Nohorn;Renfri;1;1
Nohorn;Geralt;1;1
Fifteen;Fifteen;1;1
Caldemeyn;Civril;1;1
Stregobor;Civril;1;1
